,ID,Class,Text_Post,Duracao,Plays,Comentarios,Compart.,Texto,Curtidas,Perfil,Classifier_Plays,Classifier_Comentarios,Classifier_Compart.,Classifier_Curtidas,domingo,quarta-feira,quinta-feira,segunda-feira,sexta-feira,sábado,terça-feira
0,7114971700365692165,Electrical Device Microphone People Person Crowd Adult Female Woman Male Man Head Face Clothing Shirt Audience,,57.93,248400,1083,1566,#jairbolsonaro #bolsonaro #palavras #presidente #brasil #🇧🇷 #deus #patria #familia #historia #curiosidades,24400,0,Mediano,Bombou,Bombou,Mediano,0,0,1,0,0,0,0
1,7115033431473474822,Head Person Face Adult Male Man Photography Portrait Beard,,17.3,196800,809,589,Alô alô geração tiktoker! Imagina só um #governo feito pensando no #futuro dos #jovens desse país? #VamosjuntospeloBrasil #lula,11700,1,Mediano,Mediano,Mediano,Mediano,0,0,1,0,0,0,0
2,7115050482179050758,Baseball Cap Cap Clothing Hat Head Person Advertisement Poster Face Photography Adult Male Man Portrait Happy People Laughing,,17.13,82000,480,1140,#emprego #jair #bolsonaro #jairbolsonaro #presidente #brasil #🇧🇷 #deus #patria #familia #compartilhe,9163,0,Flopou,Mediano,Mediano,Flopou,0,0,1,0,0,0,0
3,7115120078982630661,Advertisement Poster Adult Male Man Person People Crowd Audience Business Card Paper Text,,52.54,42300,198,355,#jairbolsonaro #bolsonaro #jair #presidente #mt #mato #grosso #do #sul #tereza #cristina #terezacristina #ms #matogrossodosul #brasil #🇧🇷 #campogrande #campo #grande,3485,0,Flopou,Flopou,Flopou,Flopou,0,0,1,0,0,0,0
4,7115161088219565317,People Person Crowd Accessories Formal Wear Tie Press Conference Head Face Adult Male Man Clothing Coat Happy Audience,,34.48,168500,666,967,#jairbolsonaro #bolsonaro #brasil #descontracao #brasil #kkkk #🇧🇷 #jair,22100,0,Mediano,Mediano,Mediano,Mediano,0,0,1,0,0,0,0
5,7115174031162215686,Photography Face Head Person Portrait Adult Male Man Body Part Finger Hand Electronics Mobile Phone Phone People Crowd Advertisement,,60.16,522000,3324,3973,Já imaginou um #governo feito pra que as pessoas possam ter #emprego #saneamentobasico #educação e #dignidade pra todo #brasileiro e #brasileira ? Vem com a gente! #juntospelobrasil #lula,33600,1,Bombou,Viral,Bombou,Bombou,0,0,1,0,0,0,0
6,7115207919750253830,Person Reading Adult Male Man Book Indoors Library Publication Accessories Glasses Face Head Furniture,,66.66,1800000,5390,53800,#combustiveis #gasolina #diesel #icms #senador #nordeste #pernambuco #maranhao #paraiba #piaui #bahia #sergipe #riograndedonorte #alagoas #ceara #pe #ma #pb #pi #ba #se #rn #al #ce #reducao #stf #brasil #🇧🇷 #presidente #jair #bolsonaro #jairbolsonaro #presidente #verdade #compartilhe,115700,0,Viral,Viral,Viral,Viral,0,0,1,0,0,0,0
7,7115357413712153861,Accessories Sunglasses Glasses Body Part Finger Hand Person Face Head Photography Portrait Adult Male Man Happy Clothing Coat Purple Shirt People,,14.88,427900,2289,1752,O pai ta estourado!😎 marque nos comentários um amigo e uma amiga pra seguir também! #lulanotiktok #lula #vamosjuntospelobrasil,34600,1,Bombou,Bombou,Bombou,Bombou,0,0,0,0,1,0,0
8,7115399262267051270,Accessories Formal Wear Tie Head Person Face Adult Male Man Necktie Photography Portrait Clothing Suit Frown Sad,,48.71,48200,152,119,#jairbolsonaro #jair #bolsonaro #brasil #trigo #🇧🇷 #presidente #agro #agronegocio,3958,0,Flopou,Flopou,Flopou,Flopou,0,0,0,0,1,0,0
9,7115477908256214278,People Person Adult Male Man Crowd Parade Flag Brazil Flag,,74.07,171900,838,2417,#jairbolsonaro #bolsonaro #jair #bahia #brasil #🇧🇷 #patria #familia #ba #povo #presidente,11900,0,Mediano,Mediano,Bombou,Mediano,0,0,0,0,1,0,0
