,ID,Class,Text_Post,Duracao,DiaDaSemana,Plays,Comentarios,Compart.,Texto,Curtidas,Perfil,Classifier_Plays,Classifier_Comentarios,Classifier_Compart.,Classifier_Curtidas
0,7114971700365692165,Public address system Face Spokesperson Audio equipment Forehead Gesture Head Person Microphone Event Hair,que alguém chegasse_quase sem comitiva_PRESIDENTE_JAIR BOLSONARO,57.93,quinta-feira,248400,1083,1566,#jairbolsonaro #bolsonaro #palavras #presidente #brasil #🇧🇷 #deus #patria #familia #historia #curiosidades,24400,0,Mediano,Bombou,Bombou,Mediano
1,7115033431473474822,Gesture Dress shirt Chin Ear Forehead Beard Mouth Facial hair Jaw Nose,O futuro do país!,17.3,quinta-feira,196800,809,589,Alô alô geração tiktoker! Imagina só um #governo feito pensando no #futuro dos #jovens desse país? #VamosjuntospeloBrasil #lula,11700,1,Mediano,Mediano,Mediano,Mediano
2,7115050482179050758,Forehead Facial expression Happy Font Hat Baseball cap Joy Smile Cap,"MAIS DE_4,2 MILHÕES_DE EMPREGOS GERADOS_ENTRE JUL/20 E MAI/22_PRESIDENTE_JAIR BOLSONARO",17.13,quinta-feira,82000,480,1140,#emprego #jair #bolsonaro #jairbolsonaro #presidente #brasil #🇧🇷 #deus #patria #familia #compartilhe,9163,0,Flopou,Mediano,Mediano,Flopou
3,7115120078982630661,Crowd Font Person Adaptation Event Organism T-shirt Youth Exposed World,"CAMPO GRANDE/MS (30/06/22)_> Entrega do Residencial_Jardim Canguru (mais_300 famílias alcançadas);_> Mais uma conclusão_de moradias populares,_que já superam mais_de 1.200.000 unidades_desde o início de 2019._PRESIDENTE_JAIR BOLSONARO",52.54,quinta-feira,42300,198,355,#jairbolsonaro #bolsonaro #jair #presidente #mt #mato #grosso #do #sul #tereza #cristina #terezacristina #ms #matogrossodosul #brasil #🇧🇷 #campogrande #campo #grande,3485,0,Flopou,Flopou,Flopou,Flopou
4,7115161088219565317,Spokesperson Coat Chin Dress shirt Microphone Sleeve Collar Suit Person Tie Gesture,"O MEU ESTÔMAGO_TÁ SEMPRE RONCANDO,_PRESIDE_JAIR BOLSONARO_AURICIE_MUA THhos_75 de Nove",34.48,quinta-feira,168500,666,967,#jairbolsonaro #bolsonaro #brasil #descontracao #brasil #kkkk #🇧🇷 #jair,22100,0,Mediano,Mediano,Mediano,Mediano
5,7115174031162215686,Happy Community Person Organ Adaptation Product Font Joy Smile Natural environment Facial expression Poster,VAMOS DAR OPORTUNIDADES A QUEM NUNCA TEVE,60.16,quinta-feira,522000,3324,3973,Já imaginou um #governo feito pra que as pessoas possam ter #emprego #saneamentobasico #educação e #dignidade pra todo #brasileiro e #brasileira ? Vem com a gente! #juntospelobrasil #lula,33600,1,Bombou,Viral,Bombou,Bombou
6,7115207919750253830,Shelf Bookcase Person Facial expression Eyewear Forehead Glasses Human Book Chin Vision care,,66.66,quinta-feira,1800000,5390,53800,#combustiveis #gasolina #diesel #icms #senador #nordeste #pernambuco #maranhao #paraiba #piaui #bahia #sergipe #riograndedonorte #alagoas #ceara #pe #ma #pb #pi #ba #se #rn #al #ce #reducao #stf #brasil #🇧🇷 #presidente #jair #bolsonaro #jairbolsonaro #presidente #verdade #compartilhe,115700,0,Viral,Viral,Viral,Viral
7,7115357413712153861,Cool Entertainment Goggles Eyewear Glasses Head Magenta Sunglasses Person Joy Vision care Beard,HULA * Chama,14.88,sexta-feira,427900,2289,1752,O pai ta estourado!😎 marque nos comentários um amigo e uma amiga pra seguir também! #lulanotiktok #lula #vamosjuntospelobrasil,34600,1,Bombou,Bombou,Bombou,Bombou
8,7115399262267051270,Gesture Nose Tie Ear Human Neck Chin Forehead Jaw Cheek Sleeve,FUI MASSACRADO PELA_IMPRENSA BRASILEIRA._PRESTIE_JAIR BOLIGNA,48.71,sexta-feira,48200,152,119,#jairbolsonaro #jair #bolsonaro #brasil #trigo #🇧🇷 #presidente #agro #agronegocio,3958,0,Flopou,Flopou,Flopou,Flopou
9,7115477908256214278,Leisure Blurred Product World Fan Fun T-shirt Adaptation Community Font Crowd Person Flag,ORDEN_- Cruz das Almas._Obrigado Bahia._Um abraço meu Nordeste._- Presidente Jair Bolsonaro._INUIR,74.07,sexta-feira,171900,838,2417,#jairbolsonaro #bolsonaro #jair #bahia #brasil #🇧🇷 #patria #familia #ba #povo #presidente,11900,0,Mediano,Mediano,Bombou,Mediano
10,7115560675824422149,Publication Happy Joy Poster Person Smile Font Gesture,GRANDE ATO DO DOIS DE JULHO MU AS VAMOS JUNTOS PELO BRASIL SÁBADO 10H30 ARENA FONTE NOVA Vem com a gente SALVADOR-BA na live aqui no tiktok!● ●,15.39,sexta-feira,882200,4312,2257,"A gente tem um um encontro marcado no dia 02 de Julho nas ruas de Salvador e por aqui, na live do tiktok! #lula #vamosjuntospelobrasil #lulanotiktok",47500,1,Viral,Viral,Bombou,Bombou
