Nome do Arquivo,Rotulos
@bolsonaromessiasjair7150280209315417349.jpg,"[{'Nome': 'Head', 'porcentagem': 99.99419403076172}, {'Nome': 'Person', 'porcentagem': 99.99419403076172}, {'Nome': 'Face', 'porcentagem': 99.99063873291016}, {'Nome': 'Adult', 'porcentagem': 99.01892852783203}, {'Nome': 'Male', 'porcentagem': 99.01892852783203}, {'Nome': 'Man', 'porcentagem': 99.01892852783203}, {'Nome': 'Photography', 'porcentagem': 92.2666015625}, {'Nome': 'Portrait', 'porcentagem': 92.2666015625}]"
@bolsonaromessiasjair7150687987012013317.jpg,"[{'Nome': 'Advertisement', 'porcentagem': 99.96072387695312}, {'Nome': 'Poster', 'porcentagem': 99.96072387695312}, {'Nome': 'Formal Wear', 'porcentagem': 99.82887268066406}, {'Nome': 'People', 'porcentagem': 99.45433044433594}, {'Nome': 'Person', 'porcentagem': 99.45433044433594}, {'Nome': 'Accessories', 'porcentagem': 99.36670684814453}, {'Nome': 'Tie', 'porcentagem': 99.36670684814453}, {'Nome': 'Clothing', 'porcentagem': 98.01268768310547}, {'Nome': 'Suit', 'porcentagem': 98.01268768310547}, {'Nome': 'Adult', 'porcentagem': 96.29568481445312}, {'Nome': 'Male', 'porcentagem': 96.29568481445312}, {'Nome': 'Man', 'porcentagem': 96.29568481445312}, {'Nome': 'Face', 'porcentagem': 96.28654479980469}, {'Nome': 'Head', 'porcentagem': 96.28654479980469}, {'Nome': 'Photography', 'porcentagem': 96.28654479980469}, {'Nome': 'Portrait', 'porcentagem': 96.28654479980469}, {'Nome': 'Coat', 'porcentagem': 95.67588806152344}, {'Nome': 'Logo', 'porcentagem': 91.49909210205078}, {'Nome': 'Crowd', 'porcentagem': 78.91595458984375}, {'Nome': 'Glasses', 'porcentagem': 63.92262649536133}, {'Nome': 'Blazer', 'porcentagem': 57.475791931152344}, {'Nome': 'Jacket', 'porcentagem': 57.475791931152344}, {'Nome': 'Necktie', 'porcentagem': 57.17341232299805}, {'Nome': 'Symbol', 'porcentagem': 56.66469955444336}, {'Nome': 'Text', 'porcentagem': 55.98036193847656}, {'Nome': 'Badge', 'porcentagem': 55.044620513916016}]"
@bolsonaromessiasjair7151055678486990085.jpg,"[{'Nome': 'Head', 'porcentagem': 99.99810791015625}, {'Nome': 'Person', 'porcentagem': 99.99810791015625}, {'Nome': 'Face', 'porcentagem': 99.99765014648438}, {'Nome': 'Happy', 'porcentagem': 98.94802856445312}, {'Nome': 'Adult', 'porcentagem': 98.68190002441406}, {'Nome': 'Female', 'porcentagem': 98.68190002441406}, {'Nome': 'Woman', 'porcentagem': 98.68190002441406}, {'Nome': 'Smile', 'porcentagem': 95.3797836303711}, {'Nome': 'Photography', 'porcentagem': 95.02176666259766}, {'Nome': 'Portrait', 'porcentagem': 95.02176666259766}, {'Nome': 'Crying', 'porcentagem': 93.6267318725586}, {'Nome': 'Sad', 'porcentagem': 93.6267318725586}, {'Nome': 'Male', 'porcentagem': 92.24456787109375}, {'Nome': 'Man', 'porcentagem': 92.24456787109375}, {'Nome': 'Laughing', 'porcentagem': 86.24437713623047}, {'Nome': 'Baseball Cap', 'porcentagem': 82.38199615478516}, {'Nome': 'Cap', 'porcentagem': 82.38199615478516}, {'Nome': 'Clothing', 'porcentagem': 82.38199615478516}, {'Nome': 'Hat', 'porcentagem': 82.38199615478516}, {'Nome': 'Hugging', 'porcentagem': 55.58082962036133}]"
@bolsonaromessiasjair7151517516244864262.jpg,"[{'Nome': 'Photography', 'porcentagem': 99.61600494384766}, {'Nome': 'Adult', 'porcentagem': 98.75604248046875}, {'Nome': 'Male', 'porcentagem': 98.75604248046875}, {'Nome': 'Man', 'porcentagem': 98.75604248046875}, {'Nome': 'Person', 'porcentagem': 98.75604248046875}, {'Nome': 'Advertisement', 'porcentagem': 89.41454315185547}, {'Nome': 'Poster', 'porcentagem': 89.41454315185547}, {'Nome': 'Publication', 'porcentagem': 89.12654876708984}, {'Nome': 'Face', 'porcentagem': 85.64095306396484}, {'Nome': 'Head', 'porcentagem': 85.64095306396484}, {'Nome': 'Portrait', 'porcentagem': 85.64095306396484}, {'Nome': 'Book', 'porcentagem': 80.6756591796875}, {'Nome': 'Body Part', 'porcentagem': 57.111549377441406}, {'Nome': 'Finger', 'porcentagem': 57.111549377441406}, {'Nome': 'Hand', 'porcentagem': 57.111549377441406}, {'Nome': 'Cleaning', 'porcentagem': 56.817466735839844}, {'Nome': 'Accessories', 'porcentagem': 56.219261169433594}, {'Nome': 'Text', 'porcentagem': 55.080753326416016}]"
@bolsonaromessiasjair7151583849414266117.jpg,"[{'Nome': 'Baseball Cap', 'porcentagem': 99.99160766601562}, {'Nome': 'Cap', 'porcentagem': 99.99160766601562}, {'Nome': 'Clothing', 'porcentagem': 99.99160766601562}, {'Nome': 'Hat', 'porcentagem': 99.99160766601562}, {'Nome': 'Face', 'porcentagem': 99.98828125}, {'Nome': 'Head', 'porcentagem': 99.98828125}, {'Nome': 'Person', 'porcentagem': 99.98828125}, {'Nome': 'Beard', 'porcentagem': 99.9871597290039}, {'Nome': 'Adult', 'porcentagem': 98.5293960571289}, {'Nome': 'Male', 'porcentagem': 98.5293960571289}, {'Nome': 'Man', 'porcentagem': 98.5293960571289}, {'Nome': 'Coat', 'porcentagem': 87.84020233154297}, {'Nome': 'Accessories', 'porcentagem': 61.3177490234375}, {'Nome': 'Jewelry', 'porcentagem': 61.3177490234375}, {'Nome': 'Necklace', 'porcentagem': 61.3177490234375}, {'Nome': 'Pendant', 'porcentagem': 56.47028732299805}]"
@bolsonaromessiasjair7151733451157261573.jpg,"[{'Nome': 'Face', 'porcentagem': 99.44954681396484}, {'Nome': 'Head', 'porcentagem': 99.44954681396484}, {'Nome': 'Person', 'porcentagem': 99.44954681396484}, {'Nome': 'Photography', 'porcentagem': 99.44954681396484}, {'Nome': 'Portrait', 'porcentagem': 99.44954681396484}, {'Nome': 'Patient', 'porcentagem': 99.13947296142578}, {'Nome': 'Architecture', 'porcentagem': 95.21810913085938}, {'Nome': 'Building', 'porcentagem': 95.21810913085938}, {'Nome': 'Hospital', 'porcentagem': 95.21810913085938}, {'Nome': 'Clothing', 'porcentagem': 94.11833190917969}, {'Nome': 'Coat', 'porcentagem': 94.11833190917969}, {'Nome': 'Accessories', 'porcentagem': 72.96353149414062}, {'Nome': 'Glasses', 'porcentagem': 72.96353149414062}, {'Nome': 'Happy', 'porcentagem': 60.67446517944336}, {'Nome': 'Clinic', 'porcentagem': 55.690711975097656}, {'Nome': 'Therapy', 'porcentagem': 55.33896255493164}]"
@bolsonaromessiasjair7151888457101675782.jpg,"[{'Nome': 'People', 'porcentagem': 99.9438705444336}, {'Nome': 'Person', 'porcentagem': 99.9438705444336}, {'Nome': 'Accessories', 'porcentagem': 96.6640625}, {'Nome': 'Formal Wear', 'porcentagem': 96.6640625}, {'Nome': 'Tie', 'porcentagem': 96.6640625}, {'Nome': 'Adult', 'porcentagem': 95.96125793457031}, {'Nome': 'Female', 'porcentagem': 95.96125793457031}, {'Nome': 'Woman', 'porcentagem': 95.96125793457031}, {'Nome': 'Child', 'porcentagem': 93.7608871459961}, {'Nome': 'Girl', 'porcentagem': 93.7608871459961}, {'Nome': 'Male', 'porcentagem': 91.7328109741211}, {'Nome': 'Man', 'porcentagem': 91.7328109741211}, {'Nome': 'Baby', 'porcentagem': 84.9911117553711}, {'Nome': 'Boy', 'porcentagem': 79.45340728759766}, {'Nome': 'Face', 'porcentagem': 68.09756469726562}, {'Nome': 'Head', 'porcentagem': 68.09756469726562}, {'Nome': 'Flag', 'porcentagem': 65.55997467041016}, {'Nome': 'Logo', 'porcentagem': 60.56858825683594}, {'Nome': 'Clothing', 'porcentagem': 57.293766021728516}, {'Nome': 'T-Shirt', 'porcentagem': 57.293766021728516}, {'Nome': 'Architecture', 'porcentagem': 56.862945556640625}, {'Nome': 'Building', 'porcentagem': 56.862945556640625}, {'Nome': 'School', 'porcentagem': 56.862945556640625}, {'Nome': 'Shirt', 'porcentagem': 55.782569885253906}]"
@bolsonaromessiasjair7151895134433512709.jpg,"[{'Nome': 'Adult', 'porcentagem': 95.37420654296875}, {'Nome': 'Male', 'porcentagem': 95.37420654296875}, {'Nome': 'Man', 'porcentagem': 95.37420654296875}, {'Nome': 'Person', 'porcentagem': 95.37420654296875}, {'Nome': 'Text', 'porcentagem': 93.07132720947266}, {'Nome': 'Boy', 'porcentagem': 91.79452514648438}, {'Nome': 'Child', 'porcentagem': 91.79452514648438}, {'Nome': 'Face', 'porcentagem': 68.80216979980469}, {'Nome': 'Head', 'porcentagem': 68.80216979980469}, {'Nome': 'Document', 'porcentagem': 57.47430419921875}, {'Nome': 'Electronics', 'porcentagem': 57.14145278930664}, {'Nome': 'Mobile Phone', 'porcentagem': 57.14145278930664}, {'Nome': 'Phone', 'porcentagem': 57.14145278930664}, {'Nome': 'Crowd', 'porcentagem': 56.40381622314453}, {'Nome': 'Flag', 'porcentagem': 56.268733978271484}, {'Nome': 'Advertisement', 'porcentagem': 55.7579345703125}, {'Nome': 'Poster', 'porcentagem': 55.7579345703125}, {'Nome': 'Photography', 'porcentagem': 55.54533004760742}, {'Nome': 'Portrait', 'porcentagem': 55.54533004760742}]"
@bolsonaromessiasjair7152116839567363334.jpg,"[{'Nome': 'Advertisement', 'porcentagem': 99.98867797851562}, {'Nome': 'Poster', 'porcentagem': 99.98867797851562}, {'Nome': 'Lighting', 'porcentagem': 99.98336791992188}, {'Nome': 'Adult', 'porcentagem': 98.77638244628906}, {'Nome': 'Male', 'porcentagem': 98.77638244628906}, {'Nome': 'Man', 'porcentagem': 98.77638244628906}, {'Nome': 'Person', 'porcentagem': 98.77638244628906}, {'Nome': 'Clothing', 'porcentagem': 89.59654235839844}, {'Nome': 'T-Shirt', 'porcentagem': 89.59654235839844}, {'Nome': 'Face', 'porcentagem': 88.79016876220703}, {'Nome': 'Head', 'porcentagem': 88.79016876220703}, {'Nome': 'Photography', 'porcentagem': 88.79016876220703}, {'Nome': 'Portrait', 'porcentagem': 88.79016876220703}, {'Nome': 'People', 'porcentagem': 87.6438980102539}, {'Nome': 'Coat', 'porcentagem': 57.103572845458984}, {'Nome': 'Urban', 'porcentagem': 56.102596282958984}, {'Nome': 'Accessories', 'porcentagem': 55.68266677856445}, {'Nome': 'Glasses', 'porcentagem': 55.68266677856445}]"
@bolsonaromessiasjair7152178193699572997.jpg,"[{'Nome': 'Flower', 'porcentagem': 99.99883270263672}, {'Nome': 'Flower Arrangement', 'porcentagem': 99.99883270263672}, {'Nome': 'Plant', 'porcentagem': 99.99883270263672}, {'Nome': 'Potted Plant', 'porcentagem': 98.73914337158203}, {'Nome': 'Adult', 'porcentagem': 97.63987731933594}, {'Nome': 'Male', 'porcentagem': 97.63987731933594}, {'Nome': 'Man', 'porcentagem': 97.63987731933594}, {'Nome': 'Person', 'porcentagem': 97.63987731933594}, {'Nome': 'Flower Bouquet', 'porcentagem': 97.61454010009766}, {'Nome': 'Water', 'porcentagem': 96.73855590820312}, {'Nome': 'Waterfront', 'porcentagem': 96.73855590820312}, {'Nome': 'Outdoors', 'porcentagem': 80.30868530273438}, {'Nome': 'Nature', 'porcentagem': 77.78326416015625}, {'Nome': 'Sea', 'porcentagem': 76.77735137939453}, {'Nome': 'Rose', 'porcentagem': 76.2429428100586}, {'Nome': 'Christmas', 'porcentagem': 71.79503631591797}, {'Nome': 'Christmas Decorations', 'porcentagem': 71.79503631591797}, {'Nome': 'Festival', 'porcentagem': 71.79503631591797}, {'Nome': 'Vegetation', 'porcentagem': 68.19721221923828}, {'Nome': 'Christmas Tree', 'porcentagem': 57.12953186035156}, {'Nome': 'Advertisement', 'porcentagem': 56.88081359863281}, {'Nome': 'Transportation', 'porcentagem': 56.74069595336914}, {'Nome': 'Vehicle', 'porcentagem': 56.74069595336914}, {'Nome': 'Yacht', 'porcentagem': 56.74069595336914}, {'Nome': 'Accessories', 'porcentagem': 56.54326629638672}, {'Nome': 'Photography', 'porcentagem': 55.737091064453125}, {'Nome': 'Ikebana', 'porcentagem': 55.67188262939453}, {'Nome': 'Art', 'porcentagem': 55.304527282714844}, {'Nome': 'Floral Design', 'porcentagem': 55.304527282714844}, {'Nome': 'Graphics', 'porcentagem': 55.304527282714844}, {'Nome': 'Pattern', 'porcentagem': 55.304527282714844}, {'Nome': 'Fun', 'porcentagem': 55.11540222167969}, {'Nome': 'Tourist', 'porcentagem': 55.11540222167969}, {'Nome': 'Vacation', 'porcentagem': 55.11540222167969}]"
@bolsonaromessiasjair7152483582596926725.jpg,"[{'Nome': 'Head', 'porcentagem': 99.94434356689453}, {'Nome': 'Person', 'porcentagem': 99.94434356689453}, {'Nome': 'Face', 'porcentagem': 99.93582153320312}, {'Nome': 'Adult', 'porcentagem': 96.9199447631836}, {'Nome': 'Male', 'porcentagem': 96.9199447631836}, {'Nome': 'Man', 'porcentagem': 96.9199447631836}, {'Nome': 'Photography', 'porcentagem': 57.633121490478516}, {'Nome': 'Portrait', 'porcentagem': 57.633121490478516}, {'Nome': 'Accessories', 'porcentagem': 55.87894821166992}, {'Nome': 'Skin', 'porcentagem': 55.36659240722656}]"
@bolsonaromessiasjair7152844420998548742.jpg,"[{'Nome': 'Electrical Device', 'porcentagem': 100.0}, {'Nome': 'Microphone', 'porcentagem': 100.0}, {'Nome': 'Performer', 'porcentagem': 99.95968627929688}, {'Nome': 'Person', 'porcentagem': 99.95968627929688}, {'Nome': 'Solo Performance', 'porcentagem': 99.95968627929688}, {'Nome': 'Head', 'porcentagem': 99.20943450927734}, {'Nome': 'Adult', 'porcentagem': 99.14999389648438}, {'Nome': 'Male', 'porcentagem': 99.14999389648438}, {'Nome': 'Man', 'porcentagem': 99.14999389648438}, {'Nome': 'Face', 'porcentagem': 98.8887939453125}, {'Nome': 'Happy', 'porcentagem': 79.65876770019531}, {'Nome': 'Laughing', 'porcentagem': 77.65228271484375}, {'Nome': 'Photography', 'porcentagem': 76.57722473144531}, {'Nome': 'Portrait', 'porcentagem': 76.57722473144531}, {'Nome': 'Crowd', 'porcentagem': 67.33937072753906}, {'Nome': 'Lighting', 'porcentagem': 57.403778076171875}, {'Nome': 'People', 'porcentagem': 55.8875846862793}, {'Nome': 'Press Conference', 'porcentagem': 55.21540832519531}]"
@bolsonaromessiasjair7153201264568913158.jpg,"[{'Nome': 'Plant', 'porcentagem': 99.96327209472656}, {'Nome': 'Potted Plant', 'porcentagem': 99.96327209472656}, {'Nome': 'Face', 'porcentagem': 99.89208221435547}, {'Nome': 'Head', 'porcentagem': 99.89208221435547}, {'Nome': 'Person', 'porcentagem': 99.89208221435547}, {'Nome': 'Adult', 'porcentagem': 99.79523468017578}, {'Nome': 'Female', 'porcentagem': 99.79523468017578}, {'Nome': 'Woman', 'porcentagem': 99.79523468017578}, {'Nome': 'Male', 'porcentagem': 95.8594741821289}, {'Nome': 'Man', 'porcentagem': 95.8594741821289}, {'Nome': 'Electronics', 'porcentagem': 93.10787200927734}, {'Nome': 'Mobile Phone', 'porcentagem': 93.10787200927734}, {'Nome': 'Phone', 'porcentagem': 93.10787200927734}, {'Nome': 'Happy', 'porcentagem': 92.07169342041016}, {'Nome': 'Smile', 'porcentagem': 75.02893829345703}, {'Nome': 'Flower', 'porcentagem': 70.51001739501953}, {'Nome': 'People', 'porcentagem': 62.407981872558594}, {'Nome': 'Accessories', 'porcentagem': 59.41727066040039}, {'Nome': 'Glasses', 'porcentagem': 59.41727066040039}, {'Nome': 'Laughing', 'porcentagem': 56.897342681884766}, {'Nome': 'Body Part', 'porcentagem': 56.11297607421875}, {'Nome': 'Hand', 'porcentagem': 56.11297607421875}]"
@bolsonaromessiasjair7153302688556420358.jpg,"[{'Nome': 'People', 'porcentagem': 99.59701538085938}, {'Nome': 'Person', 'porcentagem': 99.59701538085938}, {'Nome': 'Adult', 'porcentagem': 91.45669555664062}, {'Nome': 'Male', 'porcentagem': 91.45669555664062}, {'Nome': 'Man', 'porcentagem': 91.45669555664062}, {'Nome': 'Lighting', 'porcentagem': 91.22187805175781}, {'Nome': 'Celebrating', 'porcentagem': 90.78939056396484}, {'Nome': 'Head', 'porcentagem': 82.46839141845703}, {'Nome': 'Crowd', 'porcentagem': 71.48390197753906}, {'Nome': 'Face', 'porcentagem': 68.64976501464844}, {'Nome': 'Vigil', 'porcentagem': 56.137359619140625}]"
@bolsonaromessiasjair7153374801409707270.jpg,"[{'Nome': 'Celebrating', 'porcentagem': 99.95174407958984}, {'Nome': 'Person', 'porcentagem': 99.95174407958984}, {'Nome': 'Adult', 'porcentagem': 93.34552001953125}, {'Nome': 'Male', 'porcentagem': 93.34552001953125}, {'Nome': 'Man', 'porcentagem': 93.34552001953125}, {'Nome': 'Head', 'porcentagem': 92.59027862548828}, {'Nome': 'Face', 'porcentagem': 92.01654052734375}, {'Nome': 'Crowd', 'porcentagem': 81.38015747070312}, {'Nome': 'People', 'porcentagem': 80.07244110107422}, {'Nome': 'Happy', 'porcentagem': 73.06452178955078}, {'Nome': 'Triumphant', 'porcentagem': 70.13076782226562}, {'Nome': 'Audience', 'porcentagem': 61.5265007019043}, {'Nome': 'Fun', 'porcentagem': 56.50263595581055}, {'Nome': 'Party', 'porcentagem': 56.50263595581055}, {'Nome': 'Electronics', 'porcentagem': 56.08241653442383}, {'Nome': 'Mobile Phone', 'porcentagem': 56.08241653442383}, {'Nome': 'Phone', 'porcentagem': 56.08241653442383}, {'Nome': 'Concert', 'porcentagem': 55.3009147644043}]"
@bolsonaromessiasjair7153610126375521541.jpg,"[{'Nome': 'Crowd', 'porcentagem': 99.99095153808594}, {'Nome': 'Person', 'porcentagem': 99.99095153808594}, {'Nome': 'Press Conference', 'porcentagem': 99.99095153808594}, {'Nome': 'People', 'porcentagem': 99.9783935546875}, {'Nome': 'Adult', 'porcentagem': 98.80233764648438}, {'Nome': 'Male', 'porcentagem': 98.80233764648438}, {'Nome': 'Man', 'porcentagem': 98.80233764648438}, {'Nome': 'Face', 'porcentagem': 97.46485137939453}, {'Nome': 'Head', 'porcentagem': 97.46485137939453}, {'Nome': 'Photography', 'porcentagem': 97.46485137939453}, {'Nome': 'Portrait', 'porcentagem': 97.46485137939453}, {'Nome': 'Electrical Device', 'porcentagem': 91.4780044555664}, {'Nome': 'Microphone', 'porcentagem': 91.4780044555664}, {'Nome': 'Boy', 'porcentagem': 88.82611846923828}, {'Nome': 'Child', 'porcentagem': 88.82611846923828}, {'Nome': 'Accessories', 'porcentagem': 83.66667938232422}, {'Nome': 'Glasses', 'porcentagem': 83.66667938232422}, {'Nome': 'Audience', 'porcentagem': 56.800437927246094}, {'Nome': 'Lecture', 'porcentagem': 56.379539489746094}]"
@bolsonaromessiasjair7153666557539798277.jpg,"[{'Nome': 'Photography', 'porcentagem': 99.98824310302734}, {'Nome': 'Face', 'porcentagem': 99.96607208251953}, {'Nome': 'Head', 'porcentagem': 99.96607208251953}, {'Nome': 'Person', 'porcentagem': 99.96607208251953}, {'Nome': 'Portrait', 'porcentagem': 99.96607208251953}, {'Nome': 'Clothing', 'porcentagem': 99.95588684082031}, {'Nome': 'Shirt', 'porcentagem': 99.95588684082031}, {'Nome': 'People', 'porcentagem': 99.76966094970703}, {'Nome': 'Coat', 'porcentagem': 99.53022003173828}, {'Nome': 'Pants', 'porcentagem': 99.2701416015625}, {'Nome': 'T-Shirt', 'porcentagem': 98.85157012939453}, {'Nome': 'Adult', 'porcentagem': 98.74624633789062}, {'Nome': 'Male', 'porcentagem': 98.74624633789062}, {'Nome': 'Man', 'porcentagem': 98.74624633789062}, {'Nome': 'Child', 'porcentagem': 97.46697998046875}, {'Nome': 'Female', 'porcentagem': 97.46697998046875}, {'Nome': 'Girl', 'porcentagem': 97.46697998046875}, {'Nome': 'Furniture', 'porcentagem': 84.93063354492188}, {'Nome': 'Body Part', 'porcentagem': 76.34185791015625}, {'Nome': 'Mouth', 'porcentagem': 76.34185791015625}, {'Nome': 'Teeth', 'porcentagem': 76.34185791015625}, {'Nome': 'Happy', 'porcentagem': 70.4374771118164}, {'Nome': 'Clapperboard', 'porcentagem': 61.83968734741211}, {'Nome': 'Jacket', 'porcentagem': 56.76426315307617}, {'Nome': 'Chair', 'porcentagem': 56.71849060058594}, {'Nome': 'Accessories', 'porcentagem': 56.3563117980957}, {'Nome': 'Formal Wear', 'porcentagem': 56.3563117980957}, {'Nome': 'Tie', 'porcentagem': 56.3563117980957}, {'Nome': 'Laughing', 'porcentagem': 56.34480667114258}, {'Nome': 'Sleeve', 'porcentagem': 55.951446533203125}, {'Nome': 'Flag', 'porcentagem': 55.77211380004883}, {'Nome': 'Architecture', 'porcentagem': 55.510414123535156}, {'Nome': 'Building', 'porcentagem': 55.510414123535156}, {'Nome': 'Hospital', 'porcentagem': 55.510414123535156}, {'Nome': 'Smile', 'porcentagem': 55.32090759277344}, {'Nome': 'Finger', 'porcentagem': 55.23372268676758}, {'Nome': 'Hand', 'porcentagem': 55.23372268676758}]"
@bolsonaromessiasjair7154040855152610565.jpg,"[{'Nome': 'People', 'porcentagem': 99.98495483398438}, {'Nome': 'Person', 'porcentagem': 99.98495483398438}, {'Nome': 'Head', 'porcentagem': 99.96379852294922}, {'Nome': 'Face', 'porcentagem': 99.93849182128906}, {'Nome': 'Adult', 'porcentagem': 99.47914123535156}, {'Nome': 'Male', 'porcentagem': 99.47914123535156}, {'Nome': 'Man', 'porcentagem': 99.47914123535156}, {'Nome': 'Accessories', 'porcentagem': 99.044189453125}, {'Nome': 'Formal Wear', 'porcentagem': 99.044189453125}, {'Nome': 'Tie', 'porcentagem': 99.044189453125}, {'Nome': 'Crowd', 'porcentagem': 98.97429656982422}, {'Nome': 'Clothing', 'porcentagem': 87.24749755859375}, {'Nome': 'Coat', 'porcentagem': 87.24749755859375}, {'Nome': 'Glasses', 'porcentagem': 74.60813903808594}, {'Nome': 'Press Conference', 'porcentagem': 57.87533950805664}, {'Nome': 'Photography', 'porcentagem': 57.06568908691406}, {'Nome': 'Portrait', 'porcentagem': 57.06568908691406}, {'Nome': 'Audience', 'porcentagem': 56.985389709472656}, {'Nome': 'Lecture', 'porcentagem': 56.985389709472656}, {'Nome': 'Electrical Device', 'porcentagem': 56.39373779296875}, {'Nome': 'Microphone', 'porcentagem': 56.39373779296875}, {'Nome': 'Necktie', 'porcentagem': 55.90574645996094}]"
