Nome do Arquivo,Rotulos
@bolsonaromessiasjair7060990109046377734.jpg,"[{'Nome': 'Crowd', 'porcentagem': 99.97863006591797}, {'Nome': 'Person', 'porcentagem': 99.97863006591797}, {'Nome': 'People', 'porcentagem': 99.86190795898438}, {'Nome': 'Accessories', 'porcentagem': 99.54220581054688}, {'Nome': 'Formal Wear', 'porcentagem': 99.54220581054688}, {'Nome': 'Tie', 'porcentagem': 99.54220581054688}, {'Nome': 'Adult', 'porcentagem': 98.47872924804688}, {'Nome': 'Male', 'porcentagem': 98.47872924804688}, {'Nome': 'Man', 'porcentagem': 98.47872924804688}, {'Nome': 'Press Conference', 'porcentagem': 94.13526916503906}, {'Nome': 'Head', 'porcentagem': 93.41919708251953}, {'Nome': 'Face', 'porcentagem': 90.85175323486328}, {'Nome': 'Audience', 'porcentagem': 75.04067993164062}, {'Nome': 'Clothing', 'porcentagem': 61.412818908691406}, {'Nome': 'Coat', 'porcentagem': 61.412818908691406}, {'Nome': 'Speech', 'porcentagem': 56.38333511352539}, {'Nome': 'Necktie', 'porcentagem': 55.956787109375}, {'Nome': 'Electrical Device', 'porcentagem': 55.64494323730469}, {'Nome': 'Microphone', 'porcentagem': 55.64494323730469}, {'Nome': 'Lecture', 'porcentagem': 55.23065948486328}]"
@bolsonaromessiasjair7060999274284240134.jpg,"[{'Nome': 'Head', 'porcentagem': 99.97161102294922}, {'Nome': 'Person', 'porcentagem': 99.97161102294922}, {'Nome': 'Face', 'porcentagem': 99.95919036865234}, {'Nome': 'Adult', 'porcentagem': 99.46882629394531}, {'Nome': 'Male', 'porcentagem': 99.46882629394531}, {'Nome': 'Man', 'porcentagem': 99.46882629394531}, {'Nome': 'Photography', 'porcentagem': 78.94680786132812}, {'Nome': 'Portrait', 'porcentagem': 78.94680786132812}, {'Nome': 'Hair', 'porcentagem': 56.56172561645508}, {'Nome': 'Accessories', 'porcentagem': 55.24128723144531}, {'Nome': 'Formal Wear', 'porcentagem': 55.24128723144531}, {'Nome': 'Tie', 'porcentagem': 55.24128723144531}, {'Nome': 'Blonde', 'porcentagem': 55.00757598876953}]"
@bolsonaromessiasjair7061248284618247429.jpg,"[{'Nome': 'Accessories', 'porcentagem': 99.76028442382812}, {'Nome': 'Formal Wear', 'porcentagem': 99.76028442382812}, {'Nome': 'Tie', 'porcentagem': 99.76028442382812}, {'Nome': 'Crowd', 'porcentagem': 99.74276733398438}, {'Nome': 'Person', 'porcentagem': 99.74276733398438}, {'Nome': 'Press Conference', 'porcentagem': 99.59016418457031}, {'Nome': 'People', 'porcentagem': 99.11528015136719}, {'Nome': 'Adult', 'porcentagem': 98.88565826416016}, {'Nome': 'Male', 'porcentagem': 98.88565826416016}, {'Nome': 'Man', 'porcentagem': 98.88565826416016}, {'Nome': 'Head', 'porcentagem': 98.0082778930664}, {'Nome': 'Face', 'porcentagem': 97.11404418945312}, {'Nome': 'Clothing', 'porcentagem': 88.17227172851562}, {'Nome': 'Coat', 'porcentagem': 88.17227172851562}, {'Nome': 'Audience', 'porcentagem': 56.44233703613281}, {'Nome': 'Necktie', 'porcentagem': 56.03321075439453}, {'Nome': 'Photography', 'porcentagem': 55.01872253417969}, {'Nome': 'Portrait', 'porcentagem': 55.01872253417969}]"
@bolsonaromessiasjair7061729512853146886.jpg,"[{'Nome': 'Accessories', 'porcentagem': 100.0}, {'Nome': 'Formal Wear', 'porcentagem': 100.0}, {'Nome': 'Tie', 'porcentagem': 100.0}, {'Nome': 'Face', 'porcentagem': 99.74900817871094}, {'Nome': 'Head', 'porcentagem': 99.74900817871094}, {'Nome': 'Person', 'porcentagem': 99.74900817871094}, {'Nome': 'Photography', 'porcentagem': 99.74900817871094}, {'Nome': 'Portrait', 'porcentagem': 99.74900817871094}, {'Nome': 'Necktie', 'porcentagem': 99.74732971191406}, {'Nome': 'Adult', 'porcentagem': 99.54454803466797}, {'Nome': 'Male', 'porcentagem': 99.54454803466797}, {'Nome': 'Man', 'porcentagem': 99.54454803466797}, {'Nome': 'Clothing', 'porcentagem': 90.62660217285156}, {'Nome': 'Coat', 'porcentagem': 90.62660217285156}, {'Nome': 'Suit', 'porcentagem': 73.80763244628906}, {'Nome': 'People', 'porcentagem': 65.78145599365234}, {'Nome': 'Crowd', 'porcentagem': 56.723934173583984}, {'Nome': 'Shirt', 'porcentagem': 55.783782958984375}]"
@bolsonaromessiasjair7062074632446299398.jpg,"[{'Nome': 'Accessories', 'porcentagem': 99.97313690185547}, {'Nome': 'Formal Wear', 'porcentagem': 99.97313690185547}, {'Nome': 'Tie', 'porcentagem': 99.97313690185547}, {'Nome': 'Crowd', 'porcentagem': 99.9426498413086}, {'Nome': 'Person', 'porcentagem': 99.9426498413086}, {'Nome': 'Adult', 'porcentagem': 99.72347259521484}, {'Nome': 'Male', 'porcentagem': 99.72347259521484}, {'Nome': 'Man', 'porcentagem': 99.72347259521484}, {'Nome': 'People', 'porcentagem': 99.20789337158203}, {'Nome': 'Press Conference', 'porcentagem': 92.78374481201172}, {'Nome': 'Head', 'porcentagem': 86.79290771484375}, {'Nome': 'Face', 'porcentagem': 82.04356384277344}, {'Nome': 'Clothing', 'porcentagem': 73.53822326660156}, {'Nome': 'Suit', 'porcentagem': 73.53822326660156}, {'Nome': 'Audience', 'porcentagem': 70.52311706542969}, {'Nome': 'Necktie', 'porcentagem': 57.6708984375}]"
@bolsonaromessiasjair7062308722109893894.jpg,"[{'Nome': 'Head', 'porcentagem': 99.9999771118164}, {'Nome': 'Person', 'porcentagem': 99.9999771118164}, {'Nome': 'Face', 'porcentagem': 99.99996185302734}, {'Nome': 'Frown', 'porcentagem': 99.99893951416016}, {'Nome': 'Sad', 'porcentagem': 99.99893951416016}, {'Nome': 'Crying', 'porcentagem': 99.70407104492188}, {'Nome': 'Photography', 'porcentagem': 99.6629638671875}, {'Nome': 'Portrait', 'porcentagem': 99.6629638671875}, {'Nome': 'Adult', 'porcentagem': 98.21510314941406}, {'Nome': 'Male', 'porcentagem': 98.21510314941406}, {'Nome': 'Man', 'porcentagem': 98.21510314941406}, {'Nome': 'Skin', 'porcentagem': 56.09096145629883}]"
@bolsonaromessiasjair7062402803955895558.jpg,"[{'Nome': 'Head', 'porcentagem': 99.96029663085938}, {'Nome': 'Person', 'porcentagem': 99.96029663085938}, {'Nome': 'Face', 'porcentagem': 99.9336166381836}, {'Nome': 'Photography', 'porcentagem': 99.9281234741211}, {'Nome': 'Portrait', 'porcentagem': 99.92230224609375}, {'Nome': 'Adult', 'porcentagem': 99.11112213134766}, {'Nome': 'Male', 'porcentagem': 99.11112213134766}, {'Nome': 'Man', 'porcentagem': 99.11112213134766}, {'Nome': 'Clothing', 'porcentagem': 93.65737915039062}, {'Nome': 'Coat', 'porcentagem': 93.65737915039062}, {'Nome': 'Frown', 'porcentagem': 56.99001693725586}, {'Nome': 'Sad', 'porcentagem': 56.99001693725586}, {'Nome': 'Advertisement', 'porcentagem': 55.55436706542969}, {'Nome': 'Poster', 'porcentagem': 55.55436706542969}, {'Nome': 'Accessories', 'porcentagem': 55.160682678222656}, {'Nome': 'Formal Wear', 'porcentagem': 55.160682678222656}, {'Nome': 'Tie', 'porcentagem': 55.160682678222656}]"
@bolsonaromessiasjair7062689458709073157.jpg,"[{'Nome': 'Electrical Device', 'porcentagem': 100.0}, {'Nome': 'Microphone', 'porcentagem': 100.0}, {'Nome': 'Appliance', 'porcentagem': 99.73931121826172}, {'Nome': 'Blow Dryer', 'porcentagem': 99.73931121826172}, {'Nome': 'Device', 'porcentagem': 99.73931121826172}, {'Nome': 'People', 'porcentagem': 99.66009521484375}, {'Nome': 'Person', 'porcentagem': 99.66009521484375}, {'Nome': 'Crowd', 'porcentagem': 99.42395782470703}, {'Nome': 'Adult', 'porcentagem': 96.3201904296875}, {'Nome': 'Male', 'porcentagem': 96.3201904296875}, {'Nome': 'Man', 'porcentagem': 96.3201904296875}, {'Nome': 'Performer', 'porcentagem': 94.50089263916016}, {'Nome': 'Solo Performance', 'porcentagem': 94.50089263916016}, {'Nome': 'Head', 'porcentagem': 88.9993896484375}, {'Nome': 'Face', 'porcentagem': 80.178955078125}, {'Nome': 'Press Conference', 'porcentagem': 57.981536865234375}, {'Nome': 'Audience', 'porcentagem': 56.67208480834961}]"
@bolsonaromessiasjair7062856690630200582.jpg,"[{'Nome': 'Electrical Device', 'porcentagem': 99.9998550415039}, {'Nome': 'Microphone', 'porcentagem': 99.9998550415039}, {'Nome': 'Performer', 'porcentagem': 99.74095153808594}, {'Nome': 'Person', 'porcentagem': 99.74095153808594}, {'Nome': 'Solo Performance', 'porcentagem': 99.74095153808594}, {'Nome': 'Adult', 'porcentagem': 99.14383697509766}, {'Nome': 'Male', 'porcentagem': 99.14383697509766}, {'Nome': 'Man', 'porcentagem': 99.14383697509766}, {'Nome': 'People', 'porcentagem': 95.99803924560547}, {'Nome': 'Face', 'porcentagem': 88.0621337890625}, {'Nome': 'Head', 'porcentagem': 88.0621337890625}, {'Nome': 'Crowd', 'porcentagem': 85.78936004638672}, {'Nome': 'Clothing', 'porcentagem': 55.368446350097656}, {'Nome': 'Shirt', 'porcentagem': 55.368446350097656}]"
@bolsonaromessiasjair7063056140233477381.jpg,"[{'Nome': 'Adult', 'porcentagem': 95.80795288085938}, {'Nome': 'Male', 'porcentagem': 95.80795288085938}, {'Nome': 'Man', 'porcentagem': 95.80795288085938}, {'Nome': 'Person', 'porcentagem': 95.80795288085938}, {'Nome': 'Musical Instrument', 'porcentagem': 90.83065032958984}, {'Nome': 'Accordion', 'porcentagem': 83.23921203613281}, {'Nome': 'Face', 'porcentagem': 80.03589630126953}, {'Nome': 'Head', 'porcentagem': 80.03589630126953}, {'Nome': 'Photography', 'porcentagem': 65.6651840209961}, {'Nome': 'Portrait', 'porcentagem': 57.50028991699219}]"
