Nome do Arquivo,Rotulos
@lulacombr7115418549480377606.jpg,"[{'Nome': 'Head', 'porcentagem': 99.82389068603516}, {'Nome': 'Person', 'porcentagem': 99.82389068603516}, {'Nome': 'Face', 'porcentagem': 99.6960678100586}, {'Nome': 'People', 'porcentagem': 98.74310302734375}, {'Nome': 'Adult', 'porcentagem': 98.73416900634766}, {'Nome': 'Male', 'porcentagem': 98.73416900634766}, {'Nome': 'Man', 'porcentagem': 98.73416900634766}, {'Nome': 'Photography', 'porcentagem': 95.4595718383789}, {'Nome': 'Portrait', 'porcentagem': 95.4595718383789}, {'Nome': 'Crowd', 'porcentagem': 86.38558197021484}, {'Nome': 'Text', 'porcentagem': 73.20068359375}, {'Nome': 'Computer Hardware', 'porcentagem': 57.81944274902344}, {'Nome': 'Electronics', 'porcentagem': 57.81944274902344}, {'Nome': 'Hardware', 'porcentagem': 57.81944274902344}, {'Nome': 'Frown', 'porcentagem': 57.396610260009766}, {'Nome': 'Sad', 'porcentagem': 57.396610260009766}, {'Nome': 'Monitor', 'porcentagem': 56.062042236328125}, {'Nome': 'Screen', 'porcentagem': 56.062042236328125}, {'Nome': 'Number', 'porcentagem': 55.771480560302734}, {'Nome': 'Symbol', 'porcentagem': 55.771480560302734}, {'Nome': 'Advertisement', 'porcentagem': 55.238990783691406}, {'Nome': 'Poster', 'porcentagem': 55.238990783691406}]"
@lulacombr7115782519433219334.jpg,"[{'Nome': 'Head', 'porcentagem': 99.8366928100586}, {'Nome': 'Person', 'porcentagem': 99.8366928100586}, {'Nome': 'Face', 'porcentagem': 99.8305435180664}, {'Nome': 'Adult', 'porcentagem': 98.82505798339844}, {'Nome': 'Female', 'porcentagem': 98.82505798339844}, {'Nome': 'Woman', 'porcentagem': 98.82505798339844}, {'Nome': 'Male', 'porcentagem': 77.8172378540039}, {'Nome': 'Man', 'porcentagem': 77.8172378540039}, {'Nome': 'Clothing', 'porcentagem': 76.91217803955078}, {'Nome': 'Shorts', 'porcentagem': 76.91217803955078}, {'Nome': 'Happy', 'porcentagem': 69.26644897460938}, {'Nome': 'Accessories', 'porcentagem': 62.000648498535156}, {'Nome': 'Bag', 'porcentagem': 62.000648498535156}, {'Nome': 'Handbag', 'porcentagem': 62.000648498535156}, {'Nome': 'T-Shirt', 'porcentagem': 56.818016052246094}, {'Nome': 'Smile', 'porcentagem': 56.19071578979492}, {'Nome': 'Laughing', 'porcentagem': 56.071739196777344}, {'Nome': 'Advertisement', 'porcentagem': 55.58431625366211}]"
@lulacombr7116072001269189894.jpg,"[{'Nome': 'Clothing', 'porcentagem': 99.98271942138672}, {'Nome': 'T-Shirt', 'porcentagem': 99.98271942138672}, {'Nome': 'Shorts', 'porcentagem': 99.7872314453125}, {'Nome': 'Face', 'porcentagem': 99.3420181274414}, {'Nome': 'Head', 'porcentagem': 99.3420181274414}, {'Nome': 'Person', 'porcentagem': 99.3420181274414}, {'Nome': 'Photography', 'porcentagem': 99.3420181274414}, {'Nome': 'Portrait', 'porcentagem': 99.3420181274414}, {'Nome': 'City', 'porcentagem': 99.32796478271484}, {'Nome': 'Adult', 'porcentagem': 98.20873260498047}, {'Nome': 'Female', 'porcentagem': 98.20873260498047}, {'Nome': 'Woman', 'porcentagem': 98.20873260498047}, {'Nome': 'Happy', 'porcentagem': 91.58002471923828}, {'Nome': 'Smile', 'porcentagem': 91.58002471923828}, {'Nome': 'Road', 'porcentagem': 89.02076721191406}, {'Nome': 'Street', 'porcentagem': 89.02076721191406}, {'Nome': 'Urban', 'porcentagem': 89.02076721191406}, {'Nome': 'Crowd', 'porcentagem': 82.3348388671875}, {'Nome': 'Accessories', 'porcentagem': 72.431396484375}, {'Nome': 'Bag', 'porcentagem': 72.431396484375}, {'Nome': 'Handbag', 'porcentagem': 72.431396484375}, {'Nome': 'People', 'porcentagem': 68.06124877929688}, {'Nome': 'Hat', 'porcentagem': 63.749168395996094}, {'Nome': 'Parade', 'porcentagem': 57.52288055419922}, {'Nome': 'Audience', 'porcentagem': 57.118160247802734}, {'Nome': 'Baseball Cap', 'porcentagem': 56.95814514160156}, {'Nome': 'Cap', 'porcentagem': 56.95814514160156}, {'Nome': 'Glasses', 'porcentagem': 56.83894348144531}, {'Nome': 'Laughing', 'porcentagem': 55.98353576660156}, {'Nome': 'Architecture', 'porcentagem': 55.21998977661133}, {'Nome': 'Arena', 'porcentagem': 55.21998977661133}, {'Nome': 'Building', 'porcentagem': 55.21998977661133}, {'Nome': 'Stadium', 'porcentagem': 55.21998977661133}]"
@lulacombr7117315444716948741.jpg,"[{'Nome': 'Food', 'porcentagem': 99.99372863769531}, {'Nome': 'Lunch', 'porcentagem': 99.99372863769531}, {'Nome': 'Meal', 'porcentagem': 99.99372863769531}, {'Nome': 'Adult', 'porcentagem': 97.5811538696289}, {'Nome': 'Female', 'porcentagem': 97.5811538696289}, {'Nome': 'Person', 'porcentagem': 97.5811538696289}, {'Nome': 'Woman', 'porcentagem': 97.5811538696289}, {'Nome': 'Photography', 'porcentagem': 91.79130554199219}, {'Nome': 'Plate', 'porcentagem': 89.11356353759766}, {'Nome': 'Dish', 'porcentagem': 83.82305145263672}, {'Nome': 'Face', 'porcentagem': 70.92961120605469}, {'Nome': 'Head', 'porcentagem': 70.92961120605469}, {'Nome': 'Portrait', 'porcentagem': 70.92961120605469}, {'Nome': 'Chef', 'porcentagem': 66.95376586914062}, {'Nome': 'Cutlery', 'porcentagem': 55.85645294189453}, {'Nome': 'Fork', 'porcentagem': 55.85645294189453}, {'Nome': 'Breakfast', 'porcentagem': 55.54702377319336}, {'Nome': 'Dinner', 'porcentagem': 55.175209045410156}]"
@lulacombr7117604568795499782.jpg,"[{'Nome': 'Formal Wear', 'porcentagem': 99.98810577392578}, {'Nome': 'Accessories', 'porcentagem': 99.98456573486328}, {'Nome': 'Tie', 'porcentagem': 99.98456573486328}, {'Nome': 'Blazer', 'porcentagem': 99.97816467285156}, {'Nome': 'Clothing', 'porcentagem': 99.97816467285156}, {'Nome': 'Coat', 'porcentagem': 99.97816467285156}, {'Nome': 'Jacket', 'porcentagem': 99.97816467285156}, {'Nome': 'Photography', 'porcentagem': 99.97589111328125}, {'Nome': 'Face', 'porcentagem': 99.9388427734375}, {'Nome': 'Head', 'porcentagem': 99.9388427734375}, {'Nome': 'Person', 'porcentagem': 99.9388427734375}, {'Nome': 'Portrait', 'porcentagem': 99.9388427734375}, {'Nome': 'Suit', 'porcentagem': 99.6152114868164}, {'Nome': 'Adult', 'porcentagem': 98.57015991210938}, {'Nome': 'Male', 'porcentagem': 98.57015991210938}, {'Nome': 'Man', 'porcentagem': 98.57015991210938}, {'Nome': 'People', 'porcentagem': 94.91272735595703}, {'Nome': 'Book', 'porcentagem': 91.16597747802734}, {'Nome': 'Publication', 'porcentagem': 91.16597747802734}, {'Nome': 'Indoors', 'porcentagem': 69.94368743896484}, {'Nome': 'Library', 'porcentagem': 69.94368743896484}, {'Nome': 'Necktie', 'porcentagem': 66.66618347167969}, {'Nome': 'Jewelry', 'porcentagem': 58.344818115234375}, {'Nome': 'Ring', 'porcentagem': 58.344818115234375}, {'Nome': 'Body Part', 'porcentagem': 57.778602600097656}, {'Nome': 'Finger', 'porcentagem': 57.778602600097656}, {'Nome': 'Hand', 'porcentagem': 57.778602600097656}, {'Nome': 'Furniture', 'porcentagem': 57.52284622192383}, {'Nome': 'Sitting', 'porcentagem': 55.444400787353516}]"
@lulacombr7120218328496426245.jpg,"[{'Nome': 'Crowd', 'porcentagem': 99.84137725830078}, {'Nome': 'Person', 'porcentagem': 99.84137725830078}, {'Nome': 'People', 'porcentagem': 99.12693786621094}, {'Nome': 'Adult', 'porcentagem': 98.50543975830078}, {'Nome': 'Male', 'porcentagem': 98.50543975830078}, {'Nome': 'Man', 'porcentagem': 98.50543975830078}, {'Nome': 'Audience', 'porcentagem': 96.36255645751953}, {'Nome': 'Female', 'porcentagem': 94.925537109375}, {'Nome': 'Woman', 'porcentagem': 94.925537109375}, {'Nome': 'Face', 'porcentagem': 91.54487609863281}, {'Nome': 'Head', 'porcentagem': 91.54487609863281}, {'Nome': 'Baby', 'porcentagem': 83.92900085449219}, {'Nome': 'Speech', 'porcentagem': 83.27853393554688}, {'Nome': 'Bride', 'porcentagem': 82.35376739501953}, {'Nome': 'Wedding', 'porcentagem': 82.35376739501953}, {'Nome': 'Advertisement', 'porcentagem': 73.32886505126953}, {'Nome': 'Poster', 'porcentagem': 57.68511962890625}]"
@lulacombr7121303030930230533.jpg,"[{'Nome': 'People', 'porcentagem': 99.92626190185547}, {'Nome': 'Person', 'porcentagem': 99.92626190185547}, {'Nome': 'Crowd', 'porcentagem': 99.68196105957031}, {'Nome': 'Electrical Device', 'porcentagem': 98.69551086425781}, {'Nome': 'Microphone', 'porcentagem': 98.69551086425781}, {'Nome': 'Adult', 'porcentagem': 98.35846710205078}, {'Nome': 'Male', 'porcentagem': 98.35846710205078}, {'Nome': 'Man', 'porcentagem': 98.35846710205078}, {'Nome': 'Face', 'porcentagem': 93.05996704101562}, {'Nome': 'Head', 'porcentagem': 93.05996704101562}, {'Nome': 'Photography', 'porcentagem': 93.05996704101562}, {'Nome': 'Portrait', 'porcentagem': 93.05996704101562}, {'Nome': 'Female', 'porcentagem': 91.2334976196289}, {'Nome': 'Woman', 'porcentagem': 91.2334976196289}, {'Nome': 'Audience', 'porcentagem': 88.52357482910156}, {'Nome': 'Purple', 'porcentagem': 87.91739654541016}, {'Nome': 'Speech', 'porcentagem': 63.7913932800293}, {'Nome': 'Text', 'porcentagem': 63.49437713623047}, {'Nome': 'Advertisement', 'porcentagem': 57.77106857299805}, {'Nome': 'Poster', 'porcentagem': 55.99468994140625}, {'Nome': 'Lecture', 'porcentagem': 55.47298049926758}]"
@lulacombr7122417480215153926.jpg,"[{'Nome': 'People', 'porcentagem': 99.48544311523438}, {'Nome': 'Person', 'porcentagem': 99.48544311523438}, {'Nome': 'Adult', 'porcentagem': 99.14149475097656}, {'Nome': 'Male', 'porcentagem': 99.14149475097656}, {'Nome': 'Man', 'porcentagem': 99.14149475097656}, {'Nome': 'Face', 'porcentagem': 94.81604766845703}, {'Nome': 'Head', 'porcentagem': 94.81604766845703}, {'Nome': 'Crowd', 'porcentagem': 94.45240783691406}, {'Nome': 'Electrical Device', 'porcentagem': 91.3486557006836}, {'Nome': 'Microphone', 'porcentagem': 91.3486557006836}, {'Nome': 'Boy', 'porcentagem': 86.65734100341797}, {'Nome': 'Child', 'porcentagem': 86.65734100341797}, {'Nome': 'Clothing', 'porcentagem': 83.17483520507812}, {'Nome': 'Hat', 'porcentagem': 83.17483520507812}, {'Nome': 'Audience', 'porcentagem': 76.52202606201172}, {'Nome': 'Pope', 'porcentagem': 70.41548156738281}, {'Nome': 'Speech', 'porcentagem': 62.54448318481445}, {'Nome': 'Photography', 'porcentagem': 57.101951599121094}, {'Nome': 'Shirt', 'porcentagem': 56.92988204956055}, {'Nome': 'Graduation', 'porcentagem': 55.725990295410156}, {'Nome': 'Advertisement', 'porcentagem': 55.53504180908203}, {'Nome': 'Poster', 'porcentagem': 55.53504180908203}]"
@lulacombr7122549070308150534.jpg,"[{'Nome': 'Adult', 'porcentagem': 98.75477600097656}, {'Nome': 'Male', 'porcentagem': 98.75477600097656}, {'Nome': 'Man', 'porcentagem': 98.75477600097656}, {'Nome': 'Person', 'porcentagem': 98.75477600097656}, {'Nome': 'Clothing', 'porcentagem': 97.8603515625}, {'Nome': 'Shirt', 'porcentagem': 97.8603515625}, {'Nome': 'Female', 'porcentagem': 96.86785125732422}, {'Nome': 'Woman', 'porcentagem': 96.86785125732422}, {'Nome': 'People', 'porcentagem': 96.59841918945312}, {'Nome': 'Crowd', 'porcentagem': 95.27804565429688}, {'Nome': 'Face', 'porcentagem': 91.9501724243164}, {'Nome': 'Head', 'porcentagem': 91.9501724243164}, {'Nome': 'Electrical Device', 'porcentagem': 88.54021453857422}, {'Nome': 'Microphone', 'porcentagem': 88.54021453857422}, {'Nome': 'Audience', 'porcentagem': 84.34800720214844}, {'Nome': 'Photography', 'porcentagem': 71.49496459960938}, {'Nome': 'Speech', 'porcentagem': 66.32600402832031}, {'Nome': 'Baseball Cap', 'porcentagem': 60.20977020263672}, {'Nome': 'Cap', 'porcentagem': 60.20977020263672}, {'Nome': 'Hat', 'porcentagem': 60.20977020263672}, {'Nome': 'Body Part', 'porcentagem': 57.95218276977539}, {'Nome': 'Finger', 'porcentagem': 57.95218276977539}, {'Nome': 'Hand', 'porcentagem': 57.95218276977539}, {'Nome': 'Text', 'porcentagem': 57.71595764160156}, {'Nome': 'Performer', 'porcentagem': 56.763309478759766}]"
@lulacombr7122784529286253830.jpg,"[{'Nome': 'Adult', 'porcentagem': 99.64978790283203}, {'Nome': 'Male', 'porcentagem': 99.64978790283203}, {'Nome': 'Man', 'porcentagem': 99.64978790283203}, {'Nome': 'Person', 'porcentagem': 99.64978790283203}, {'Nome': 'People', 'porcentagem': 99.64437103271484}, {'Nome': 'Crowd', 'porcentagem': 98.8775634765625}, {'Nome': 'Female', 'porcentagem': 96.20014190673828}, {'Nome': 'Woman', 'porcentagem': 96.20014190673828}, {'Nome': 'Electrical Device', 'porcentagem': 94.33368682861328}, {'Nome': 'Microphone', 'porcentagem': 94.33368682861328}, {'Nome': 'Face', 'porcentagem': 94.20542907714844}, {'Nome': 'Head', 'porcentagem': 94.20542907714844}, {'Nome': 'Audience', 'porcentagem': 89.25752258300781}, {'Nome': 'Clothing', 'porcentagem': 78.189697265625}, {'Nome': 'Shirt', 'porcentagem': 78.189697265625}, {'Nome': 'Body Part', 'porcentagem': 78.09374237060547}, {'Nome': 'Finger', 'porcentagem': 78.09374237060547}, {'Nome': 'Hand', 'porcentagem': 78.09374237060547}, {'Nome': 'Photography', 'porcentagem': 77.6927719116211}, {'Nome': 'Text', 'porcentagem': 67.93221282958984}, {'Nome': 'Speech', 'porcentagem': 66.09636688232422}, {'Nome': 'Alcohol', 'porcentagem': 61.28319549560547}, {'Nome': 'Beverage', 'porcentagem': 61.28319549560547}, {'Nome': 'Accessories', 'porcentagem': 57.94847106933594}, {'Nome': 'Formal Wear', 'porcentagem': 57.94847106933594}, {'Nome': 'Tie', 'porcentagem': 57.94847106933594}, {'Nome': 'Portrait', 'porcentagem': 57.87858200073242}, {'Nome': 'Drinking', 'porcentagem': 56.10449981689453}, {'Nome': 'Lecture', 'porcentagem': 55.931861877441406}]"
@lulacombr7122829673381268742.jpg,"[{'Nome': 'Accessories', 'porcentagem': 99.99526977539062}, {'Nome': 'Glasses', 'porcentagem': 99.99526977539062}, {'Nome': 'Head', 'porcentagem': 99.95654296875}, {'Nome': 'Person', 'porcentagem': 99.95654296875}, {'Nome': 'Face', 'porcentagem': 99.94761657714844}, {'Nome': 'Adult', 'porcentagem': 99.27313995361328}, {'Nome': 'Male', 'porcentagem': 99.27313995361328}, {'Nome': 'Man', 'porcentagem': 99.27313995361328}, {'Nome': 'Photography', 'porcentagem': 96.91920471191406}, {'Nome': 'Portrait', 'porcentagem': 96.91920471191406}, {'Nome': 'Body Part', 'porcentagem': 94.87714385986328}, {'Nome': 'Finger', 'porcentagem': 94.87714385986328}, {'Nome': 'Hand', 'porcentagem': 94.87714385986328}, {'Nome': 'Text', 'porcentagem': 62.006038665771484}]"
@lulacombr7123141340036205829.jpg,"[{'Nome': 'People', 'porcentagem': 99.69047546386719}, {'Nome': 'Person', 'porcentagem': 99.69047546386719}, {'Nome': 'Adult', 'porcentagem': 99.33150482177734}, {'Nome': 'Male', 'porcentagem': 99.33150482177734}, {'Nome': 'Man', 'porcentagem': 99.33150482177734}, {'Nome': 'Baseball Cap', 'porcentagem': 98.60965728759766}, {'Nome': 'Cap', 'porcentagem': 98.60965728759766}, {'Nome': 'Clothing', 'porcentagem': 98.60965728759766}, {'Nome': 'Hat', 'porcentagem': 98.60965728759766}, {'Nome': 'Crowd', 'porcentagem': 98.11457061767578}, {'Nome': 'Female', 'porcentagem': 95.31016540527344}, {'Nome': 'Woman', 'porcentagem': 95.31016540527344}, {'Nome': 'Face', 'porcentagem': 93.11311340332031}, {'Nome': 'Head', 'porcentagem': 93.11311340332031}, {'Nome': 'Audience', 'porcentagem': 85.04814910888672}, {'Nome': 'Shirt', 'porcentagem': 68.58058166503906}, {'Nome': 'Speech', 'porcentagem': 65.68489837646484}, {'Nome': 'Electronics', 'porcentagem': 57.22315979003906}, {'Nome': 'Phone', 'porcentagem': 57.22315979003906}, {'Nome': 'Mobile Phone', 'porcentagem': 56.94166946411133}, {'Nome': 'Electrical Device', 'porcentagem': 56.53396224975586}, {'Nome': 'Microphone', 'porcentagem': 56.53396224975586}, {'Nome': 'Photography', 'porcentagem': 55.9603157043457}, {'Nome': 'Body Part', 'porcentagem': 55.94779968261719}, {'Nome': 'Finger', 'porcentagem': 55.94779968261719}, {'Nome': 'Hand', 'porcentagem': 55.94779968261719}]"
@lulacombr7123610743064349958.jpg,"[{'Nome': 'People', 'porcentagem': 99.90840911865234}, {'Nome': 'Person', 'porcentagem': 99.90840911865234}, {'Nome': 'Crowd', 'porcentagem': 99.7968521118164}, {'Nome': 'Head', 'porcentagem': 98.57179260253906}, {'Nome': 'Adult', 'porcentagem': 98.4723892211914}, {'Nome': 'Male', 'porcentagem': 98.4723892211914}, {'Nome': 'Man', 'porcentagem': 98.4723892211914}, {'Nome': 'Female', 'porcentagem': 98.03923797607422}, {'Nome': 'Woman', 'porcentagem': 98.03923797607422}, {'Nome': 'Face', 'porcentagem': 97.81114196777344}, {'Nome': 'Press Conference', 'porcentagem': 89.83206176757812}, {'Nome': 'Electrical Device', 'porcentagem': 88.25291442871094}, {'Nome': 'Microphone', 'porcentagem': 88.25291442871094}, {'Nome': 'Audience', 'porcentagem': 65.42820739746094}, {'Nome': 'Happy', 'porcentagem': 56.25462341308594}, {'Nome': 'Laughing', 'porcentagem': 56.25462341308594}, {'Nome': 'Photography', 'porcentagem': 55.435646057128906}, {'Nome': 'Portrait', 'porcentagem': 55.435646057128906}]"
@lulacombr7124276120739908869.jpg,"[{'Nome': 'People', 'porcentagem': 99.90929412841797}, {'Nome': 'Person', 'porcentagem': 99.90929412841797}, {'Nome': 'Adult', 'porcentagem': 98.90446472167969}, {'Nome': 'Male', 'porcentagem': 98.90446472167969}, {'Nome': 'Man', 'porcentagem': 98.90446472167969}, {'Nome': 'Face', 'porcentagem': 97.79796600341797}, {'Nome': 'Head', 'porcentagem': 97.79796600341797}, {'Nome': 'Photography', 'porcentagem': 97.79796600341797}, {'Nome': 'Portrait', 'porcentagem': 97.79796600341797}, {'Nome': 'Accessories', 'porcentagem': 96.05870819091797}, {'Nome': 'Formal Wear', 'porcentagem': 96.05870819091797}, {'Nome': 'Tie', 'porcentagem': 96.05870819091797}, {'Nome': 'Clothing', 'porcentagem': 93.38082885742188}, {'Nome': 'Suit', 'porcentagem': 93.38082885742188}, {'Nome': 'Beard', 'porcentagem': 57.114994049072266}]"
@lulacombr7124644650677259526.jpg,"[{'Nome': 'Adult', 'porcentagem': 98.84751892089844}, {'Nome': 'Male', 'porcentagem': 98.84751892089844}, {'Nome': 'Man', 'porcentagem': 98.84751892089844}, {'Nome': 'Person', 'porcentagem': 98.84751892089844}, {'Nome': 'People', 'porcentagem': 95.81442260742188}, {'Nome': 'Face', 'porcentagem': 95.2476806640625}, {'Nome': 'Head', 'porcentagem': 95.2476806640625}, {'Nome': 'Crowd', 'porcentagem': 89.94680786132812}, {'Nome': 'Accessories', 'porcentagem': 82.99504089355469}, {'Nome': 'Glasses', 'porcentagem': 82.99504089355469}, {'Nome': 'Electrical Device', 'porcentagem': 82.51704406738281}, {'Nome': 'Microphone', 'porcentagem': 82.51704406738281}, {'Nome': 'Alcohol', 'porcentagem': 78.46261596679688}, {'Nome': 'Beverage', 'porcentagem': 78.46261596679688}, {'Nome': 'Beer', 'porcentagem': 65.04695892333984}, {'Nome': 'Audience', 'porcentagem': 61.32028579711914}, {'Nome': 'Clothing', 'porcentagem': 57.73359680175781}, {'Nome': 'Shirt', 'porcentagem': 57.73359680175781}, {'Nome': 'Drinking', 'porcentagem': 57.470237731933594}, {'Nome': 'Liquor', 'porcentagem': 57.135433197021484}, {'Nome': 'Advertisement', 'porcentagem': 56.864105224609375}, {'Nome': 'Speech', 'porcentagem': 56.46510314941406}, {'Nome': 'Text', 'porcentagem': 56.30583953857422}, {'Nome': 'Glass', 'porcentagem': 55.89665222167969}, {'Nome': 'Formal Wear', 'porcentagem': 55.59946823120117}, {'Nome': 'Tie', 'porcentagem': 55.59946823120117}, {'Nome': 'Baseball Cap', 'porcentagem': 55.252235412597656}, {'Nome': 'Cap', 'porcentagem': 55.252235412597656}, {'Nome': 'Hat', 'porcentagem': 55.252235412597656}]"
@lulacombr7125001247307992326.jpg,"[{'Nome': 'People', 'porcentagem': 99.9999771118164}, {'Nome': 'Person', 'porcentagem': 99.9999771118164}, {'Nome': 'Electrical Device', 'porcentagem': 99.99488830566406}, {'Nome': 'Microphone', 'porcentagem': 99.99488830566406}, {'Nome': 'Crowd', 'porcentagem': 99.96968841552734}, {'Nome': 'Adult', 'porcentagem': 99.07427215576172}, {'Nome': 'Male', 'porcentagem': 99.07427215576172}, {'Nome': 'Man', 'porcentagem': 99.07427215576172}, {'Nome': 'Face', 'porcentagem': 93.07715606689453}, {'Nome': 'Head', 'porcentagem': 93.07715606689453}, {'Nome': 'Audience', 'porcentagem': 92.24141693115234}, {'Nome': 'Lecture', 'porcentagem': 71.64823150634766}, {'Nome': 'Speech', 'porcentagem': 65.31011962890625}, {'Nome': 'Indoors', 'porcentagem': 55.8633918762207}, {'Nome': 'Room', 'porcentagem': 55.8633918762207}, {'Nome': 'Seminar', 'porcentagem': 55.8633918762207}]"
